id,city_id,"name"
363,71,"KIRIKKALE MERKEZ"
364,45,"KIRKAĞAÇ"
365,39,"KIRKLARELİ MERKEZ"
366,40,"KIRŞEHİR MERKEZ"
367,6,"KIZILCAHAMAM"
368,47,"KIZILTEPE"
369,12,"KİĞI"
370,79,"KİLİS MERKEZ"
371,35,"KİRAZ"
373,9,"KOÇARLI"
374,39,"KOFÇAZ"
375,52,"KORGAN"
376,7,"KORKUTELİ"
377,58,"KOYULHİSAR"
378,50,"KOZAKLI"
379,1,"KOZAN"
380,72,"KOZLUK"
381,48,"KÖYCEĞİZ"
382,45,"KULA"
383,21,"KULP"
384,42,"KULU"
385,7,"KUMLUCA"
386,52,"KUMRU"
387,18,"KURŞUNLU"
388,56,"KURTALAN"
389,74,"KURUCAŞİLE"
390,9,"KUŞADASI"
391,9,"KUYUCAK"
392,37,"KÜRE"
393,43,"KÜTAHYA MERKEZ"
394,55,"LADİK"
395,22,"LALAPAŞA"
396,17,"LAPSEKİ"
397,21,"LİCE"
398,39,"LÜLEBURGAZ"
399,23,"MADEN"
400,61,"MAÇKA"
401,26,"MAHMUDİYE"
403,49,"MALAZGİRT"
404,59,"MALKARA"
405,7,"MANAVGAT"
407,10,"MANYAS"
410,48,"MARMARİS"
411,62,"MAZGİRT"
412,47,"MAZIDAĞI"
413,19,"MECİTÖZÜ"
414,35,"MENEMEN"
415,14,"MENGEN"
416,22,"MERİÇ"
417,5,"MERZİFON"
418,52,"MESUDİYE"
419,47,"MİDYAT"
420,26,"MİHALIÇÇIK"
421,48,"MİLAS"
422,40,"MUCUR"
423,16,"MUDANYA"
424,14,"MUDURNU"
426,65,"MURADİYE"
427,49,"MUŞ MERKEZ"
428,16,"MUSTAFAKEMALPAŞA"
429,33,"MUT"
430,13,"MUTKİ"
431,59,"MURATLI"
432,6,"NALLIHAN"
433,25,"NARMAN"
434,62,"NAZIMİYE"
435,9,"NAZİLLİ"
436,50,"NEVŞEHİR MERKEZ"
437,51,"NİĞDE MERKEZ"
438,60,"NİKSAR"
439,27,"NİZİP"
440,47,"NUSAYBİN"
441,61,"OF"
442,27,"OĞUZELİ"
443,25,"OLTU"
444,25,"OLUR"
446,16,"ORHANELİ"
447,16,"ORHANGAZİ"
448,18,"ORTA"
449,19,"ORTAKÖY"
450,68,"ORTAKÖY"
451,19,"OSMANCIK"
452,11,"OSMANELİ"
453,80,"OSMANİYE MERKEZ"
454,78,"OVACIK"
455,62,"OVACIK"
456,35,"ÖDEMİŞ"
457,47,"ÖMERLİ"
458,65,"ÖZALP"
459,23,"PALU"
460,25,"PASİNLER"
461,4,"PATNOS"
462,53,"PAZAR"
463,46,"PAZARCIK"
464,11,"PAZARYERİ"
465,39,"PEHLİVANKÖY"
466,52,"PERŞEMBE"
467,62,"PERTEK"
468,56,"PERVARİ"
469,38,"PINARBAŞI"
470,39,"PINARHİSAR"
471,6,"POLATLI"
472,75,"POSOF"
473,1,"POZANTI"
474,62,"PÜLÜMÜR"
475,44,"PÜTÜRGE"
476,24,"REFAHİYE"
477,60,"REŞADİYE"
478,31,"REYHANLI"
479,53,"RİZE MERKEZ"
480,78,"SAFRANBOLU"
481,1,"SAİMBEYLİ"
483,45,"SALİHLİ"
484,31,"SAMANDAĞ"
485,2,"SAMSAT"
487,3,"SANDIKLI"
488,54,"SAPANCA"
489,59,"SARAY"
490,20,"SARAYKÖY"
491,42,"SARAYÖNÜ"
492,26,"SARICAKAYA"
493,45,"SARIGÖL"
494,36,"SARIKAMIŞ"
495,66,"SARIKAYA"
496,38,"SARIOĞLAN"
497,34,"SARIYER"
498,38,"SARIZ"
499,45,"SARUHANLI"
500,72,"SASON"
501,10,"SAVAŞTEPE"
502,47,"SAVUR"
503,14,"SEBEN"
504,35,"SEFERİHİSAR"
505,35,"SELÇUK"
506,45,"SELENDİ"
507,36,"SELİM"
508,32,"SENİRKENT"
509,7,"SERİK"
510,42,"SEYDİŞEHİR"
511,26,"SEYİTGAZİ"
512,10,"SINDIRGI"
513,56,"SİİRT MERKEZ"
514,33,"SİLİFKE"
515,34,"SİLİVRİ"
516,73,"SİLOPİ"
517,21,"SİLVAN"
518,43,"SİMAV"
519,3,"SİNANPAŞA"
520,57,"SİNOP MERKEZ"
521,58,"SİVAS MERKEZ"
522,64,"SİVASLI"
523,63,"SİVEREK"
524,23,"SİVRİCE"
525,26,"SİVRİHİSAR"
526,12,"SOLHAN"
527,45,"SOMA"
528,66,"SORGUN"
529,11,"SÖĞÜT"
530,9,"SÖKE"
531,71,"SULAKYURT"
532,3,"SULTANDAĞI"
533,9,"SULTANHİSAR"
534,5,"SULUOVA"
535,19,"SUNGURLU"
536,63,"SURUÇ"
537,10,"SUSURLUK"
538,36,"SUSUZ"
539,58,"SUŞEHRİ"
540,61,"SÜRMENE"
541,32,"SÜTÇÜLER"
542,18,"ŞABANÖZÜ"
543,58,"ŞARKIŞLA"
544,32,"ŞARKİKARAAĞAÇ"
545,59,"ŞARKÖY"
546,8,"ŞAVŞAT"
547,28,"ŞEBİNKARAHİSAR"
548,66,"ŞEFAATLİ"
549,30,"ŞEMDİNLİ"
550,25,"ŞENKAYA"
551,6,"ŞEREFLİKOÇHİSAR"
552,34,"ŞİLE"
553,29,"ŞİRAN"
554,73,"ŞIRNAK MERKEZ"
555,56,"ŞİRVAN"
556,34,"ŞİŞLİ"
557,3,"ŞUHUT"
558,33,"TARSUS"
559,37,"TAŞKÖPRÜ"
560,4,"TAŞLIÇAY"
561,5,"TAŞOVA"
562,13,"TATVAN"
563,20,"TAVAS"
564,43,"TAVŞANLI"
565,15,"TEFENNİ"
567,25,"TEKMAN"
568,24,"TERCAN"
569,55,"TERME"
